prefecture,municipality,location_key,applicant_count
京都府,京都市伏見区,京都府京都市伏見区,1748
京都府,京都市右京区,京都府京都市右京区,1118
京都府,京都市山科区,京都府京都市山科区,1033
京都府,京都市西京区,京都府京都市西京区,922
京都府,京都市南区,京都府京都市南区,885
京都府,宇治市,京都府宇治市,873
京都府,京都市中京区,京都府京都市中京区,818
京都府,京都市下京区,京都府京都市下京区,804
京都府,京都市上京区,京都府京都市上京区,612
京都府,京都市左京区,京都府京都市左京区,610
京都府,京都市北区,京都府京都市北区,595
京都府,,京都府,500
京都府,長岡京市,京都府長岡京市,481
大阪府,枚方市,大阪府枚方市,432
京都府,木津川市,京都府木津川市,418
京都府,八幡市,京都府八幡市,389
京都府,城陽市,京都府城陽市,379
京都府,京都市東山区,京都府京都市東山区,358
滋賀県,大津市,滋賀県大津市,343
奈良県,奈良市,奈良県奈良市,327
京都府,向日市,京都府向日市,327
京都府,亀岡市,京都府亀岡市,308
京都府,京田辺市,京都府京田辺市,302
大阪府,高槻市,大阪府高槻市,237
京都府,相楽郡精華町,京都府相楽郡精華町,184
滋賀県,草津市,滋賀県草津市,161
大阪府,,大阪府,160
大阪府,大阪市北区,大阪府大阪市北区,159
京都府,福知山市,京都府福知山市,153
京都府,舞鶴市,京都府舞鶴市,141
大阪府,茨木市,大阪府茨木市,140
京都府,南丹市,京都府南丹市,135
大阪府,東大阪市,大阪府東大阪市,130
大阪府,寝屋川市,大阪府寝屋川市,129
大阪府,吹田市,大阪府吹田市,115
大阪府,大阪市中央区,大阪府大阪市中央区,111
大阪府,交野市,大阪府交野市,108
大阪府,豊中市,大阪府豊中市,105
大阪府,大阪市東淀川区,大阪府大阪市東淀川区,101
京都府,久世郡久御山町,京都府久世郡久御山町,101
大阪府,大阪市淀川区,大阪府大阪市淀川区,96
奈良県,生駒市,奈良県生駒市,93
大阪府,守口市,大阪府守口市,90
京都府,乙訓郡大山崎町,京都府乙訓郡大山崎町,85
大阪府,大阪市生野区,大阪府大阪市生野区,80
大阪府,大阪市平野区,大阪府大阪市平野区,79
大阪府,大阪市都島区,大阪府大阪市都島区,78
大阪府,大阪市城東区,大阪府大阪市城東区,77
滋賀県,守山市,滋賀県守山市,77
大阪府,大阪市西成区,大阪府大阪市西成区,75
滋賀県,栗東市,滋賀県栗東市,75
大阪府,大阪市浪速区,大阪府大阪市浪速区,75
奈良県,大和郡山市,奈良県大和郡山市,75
兵庫県,尼崎市,兵庫県尼崎市,66
大阪府,門真市,大阪府門真市,66
大阪府,大阪市西区,大阪府大阪市西区,62
大阪府,大阪市住吉区,大阪府大阪市住吉区,59
大阪府,八尾市,大阪府八尾市,59
京都府,京丹後市,京都府京丹後市,58
大阪府,大阪市天王寺区,大阪府大阪市天王寺区,58
大阪府,大東市,大阪府大東市,57
大阪府,大阪市西淀川区,大阪府大阪市西淀川区,57
兵庫県,西宮市,兵庫県西宮市,56
大阪府,大阪市旭区,大阪府大阪市旭区,56
滋賀県,,滋賀県,56
大阪府,大阪市東成区,大阪府大阪市東成区,55
大阪府,大阪市鶴見区,大阪府大阪市鶴見区,54
大阪府,箕面市,大阪府箕面市,53
大阪府,大阪市東住吉区,大阪府大阪市東住吉区,53
大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区,53
兵庫県,,兵庫県,52
大阪府,摂津市,大阪府摂津市,52
大阪府,三島郡島本町,大阪府三島郡島本町,51
大阪府,大阪市福島区,大阪府大阪市福島区,49
奈良県,,奈良県,46
京都府,綾部市,京都府綾部市,44
大阪府,大阪市住之江区,大阪府大阪市住之江区,42
滋賀県,野洲市,滋賀県野洲市,41
奈良県,天理市,奈良県天理市,38
京都府,与謝郡与謝野町,京都府与謝郡与謝野町,38
奈良県,橿原市,奈良県橿原市,38
大阪府,堺市北区,大阪府堺市北区,37
京都府,綴喜郡宇治田原町,京都府綴喜郡宇治田原町,35
兵庫県,宝塚市,兵庫県宝塚市,35
京都府,綴喜郡井手町,京都府綴喜郡井手町,34
滋賀県,彦根市,滋賀県彦根市,33
京都府,宮津市,京都府宮津市,33
大阪府,池田市,大阪府池田市,33
大阪府,大阪市此花区,大阪府大阪市此花区,32
大阪府,大阪市港区,大阪府大阪市港区,32
大阪府,堺市堺区,大阪府堺市堺区,31
兵庫県,神戸市中央区,兵庫県神戸市中央区,30
東京都,渋谷区,東京都渋谷区,30
兵庫県,神戸市灘区,兵庫県神戸市灘区,30
兵庫県,伊丹市,兵庫県伊丹市,30
大阪府,四條畷市,大阪府四條畷市,29
大阪府,堺市中区,大阪府堺市中区,29
大阪府,大阪市大正区,大阪府大阪市大正区,28
京都府,船井郡京丹波町,京都府船井郡京丹波町,26
東京都,大田区,東京都大田区,26
東京都,世田谷区,東京都世田谷区,26
東京都,,東京都,26
兵庫県,神戸市北区,兵庫県神戸市北区,25
兵庫県,芦屋市,兵庫県芦屋市,25
兵庫県,川西市,兵庫県川西市,25
兵庫県,神戸市東灘区,兵庫県神戸市東灘区,25
大阪府,堺市南区,大阪府堺市南区,24
東京都,練馬区,東京都練馬区,24
東京都,杉並区,東京都杉並区,24
大阪府,羽曳野市,大阪府羽曳野市,24
東京都,港区,東京都港区,24
東京都,文京区,東京都文京区,23
大阪府,堺市西区,大阪府堺市西区,23
滋賀県,湖南市,滋賀県湖南市,22
福井県,大飯郡高浜町,福井県大飯郡高浜町,22
神奈川県,横浜市港北区,神奈川県横浜市港北区,22
大阪府,和泉市,大阪府和泉市,22
神奈川県,横浜市青葉区,神奈川県横浜市青葉区,22
東京都,新宿区,東京都新宿区,22
大阪府,藤井寺市,大阪府藤井寺市,22
東京都,板橋区,東京都板橋区,22
東京都,品川区,東京都品川区,21
奈良県,磯城郡田原本町,奈良県磯城郡田原本町,21
大阪府,岸和田市,大阪府岸和田市,21
大阪府,松原市,大阪府松原市,21
神奈川県,,神奈川県,20
神奈川県,横浜市南区,神奈川県横浜市南区,20
奈良県,生駒郡三郷町,奈良県生駒郡三郷町,20
滋賀県,甲賀市,滋賀県甲賀市,20
千葉県,船橋市,千葉県船橋市,20
滋賀県,近江八幡市,滋賀県近江八幡市,19
奈良県,北葛城郡王寺町,奈良県北葛城郡王寺町,19
神奈川県,横浜市緑区,神奈川県横浜市緑区,19
兵庫県,丹波市,兵庫県丹波市,19
埼玉県,川口市,埼玉県川口市,19
愛知県,,愛知県,19
千葉県,柏市,千葉県柏市,18
奈良県,香芝市,奈良県香芝市,18
東京都,足立区,東京都足立区,18
東京都,町田市,東京都町田市,18
神奈川県,川崎市川崎区,神奈川県川崎市川崎区,18
東京都,目黒区,東京都目黒区,18
神奈川県,藤沢市,神奈川県藤沢市,18
大阪府,富田林市,大阪府富田林市,17
奈良県,生駒郡平群町,奈良県生駒郡平群町,17
兵庫県,明石市,兵庫県明石市,17
兵庫県,神戸市西区,兵庫県神戸市西区,17
東京都,千代田区,東京都千代田区,17
兵庫県,姫路市,兵庫県姫路市,17
神奈川県,横浜市中区,神奈川県横浜市中区,17
滋賀県,長浜市,滋賀県長浜市,17
東京都,江戸川区,東京都江戸川区,17
奈良県,生駒郡斑鳩町,奈良県生駒郡斑鳩町,17
神奈川県,鎌倉市,神奈川県鎌倉市,17
東京都,江東区,東京都江東区,17
兵庫県,丹波篠山市,兵庫県丹波篠山市,16
千葉県,市川市,千葉県市川市,16
兵庫県,神戸市垂水区,兵庫県神戸市垂水区,16
愛知県,名古屋市中村区,愛知県名古屋市中村区,16
神奈川県,川崎市宮前区,神奈川県川崎市宮前区,16
滋賀県,東近江市,滋賀県東近江市,16
大阪府,堺市東区,大阪府堺市東区,16
岐阜県,岐阜市,岐阜県岐阜市,15
神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区,15
愛知県,名古屋市緑区,愛知県名古屋市緑区,15
奈良県,大和高田市,奈良県大和高田市,15
兵庫県,三田市,兵庫県三田市,15
千葉県,千葉市中央区,千葉県千葉市中央区,15
愛知県,名古屋市千種区,愛知県名古屋市千種区,15
兵庫県,神戸市兵庫区,兵庫県神戸市兵庫区,15
東京都,北区,東京都北区,15
神奈川県,横浜市都筑区,神奈川県横浜市都筑区,15
千葉県,松戸市,千葉県松戸市,15
神奈川県,大和市,神奈川県大和市,14
東京都,台東区,東京都台東区,14
東京都,中央区,東京都中央区,14
東京都,八王子市,東京都八王子市,14
神奈川県,横浜市鶴見区,神奈川県横浜市鶴見区,14
東京都,豊島区,東京都豊島区,14
愛知県,名古屋市天白区,愛知県名古屋市天白区,14
埼玉県,越谷市,埼玉県越谷市,14
東京都,葛飾区,東京都葛飾区,14
神奈川県,茅ヶ崎市,神奈川県茅ヶ崎市,14
和歌山県,和歌山市,和歌山県和歌山市,14
千葉県,流山市,千葉県流山市,14
兵庫県,神戸市長田区,兵庫県神戸市長田区,14
兵庫県,加古川市,兵庫県加古川市,14
東京都,中野区,東京都中野区,13
千葉県,習志野市,千葉県習志野市,13
神奈川県,相模原市南区,神奈川県相模原市南区,13
大阪府,泉佐野市,大阪府泉佐野市,13
愛知県,名古屋市中区,愛知県名古屋市中区,13
神奈川県,横須賀市,神奈川県横須賀市,13
福岡県,福岡市早良区,福岡県福岡市早良区,12
神奈川県,川崎市多摩区,神奈川県川崎市多摩区,12
大阪府,高石市,大阪府高石市,12
千葉県,市原市,千葉県市原市,12
愛知県,名古屋市守山区,愛知県名古屋市守山区,12
兵庫県,神戸市須磨区,兵庫県神戸市須磨区,12
神奈川県,横浜市神奈川区,神奈川県横浜市神奈川区,12
埼玉県,春日部市,埼玉県春日部市,12
神奈川県,川崎市中原区,神奈川県川崎市中原区,12
埼玉県,,埼玉県,12
神奈川県,横浜市西区,神奈川県横浜市西区,12
大阪府,河内長野市,大阪府河内長野市,12
東京都,荒川区,東京都荒川区,12
大阪府,柏原市,大阪府柏原市,12
東京都,三鷹市,東京都三鷹市,12
埼玉県,新座市,埼玉県新座市,11
東京都,調布市,東京都調布市,11
奈良県,御所市,奈良県御所市,11
大阪府,泉大津市,大阪府泉大津市,11
東京都,墨田区,東京都墨田区,11
神奈川県,川崎市幸区,神奈川県川崎市幸区,11
東京都,多摩市,東京都多摩市,11
埼玉県,所沢市,埼玉県所沢市,11
